"","species","antibiotics","lincomycin","novobiocin","kanamycin","ampicillin","gentamicin","neomycin","streptomycin","chloramphenicol","rifampicin","polymyxin.b","erythromycin","bacitracin","penicillin","tetracycline","aztreonam","cefalotin","cefazolin","cefotaxime","fosfomycin","imipenem","linezolid","mezlocillin","moxifloxacin","nitrofurantoin","norfloxacin","nystatin","ofloxacin","oxacillin","penicillin.g","pipemidic.acid","ticarcillin","tunicamycin","actinomycin.d","sodium.dodecyl.sulfate","vancomycin","sodium.chloride","colistin","carbenicillin","ceftriaxone","clarithromycin","cefotaxime.sodium","tobramycin","spectinomycin","amikacin","nalidixic.acid","cycloheximide","trimethoprim","sulfamethoxazole","minocycline","cephradine","cephalexin","cefuroxime","cefoperazone","ceftazidime","oleandomycin","cephalothin","acetylspiramycin","ciprofloxacin","oxytetracycline","furazolidone","midecamycin","doxycycline","piperacillin","clindamycin","enrofloxacin","cefixime","meropenem","levofloxacin","amoxicillin","clavulanic.acid","cefoxitin","cefepime","co.trimoxazole","spiramycin.II","family","order","class","phylum","domain","NCBI.tax.ID","motility","gram.stain","growth","genus","oxygen.tolerance","PH.range","GC.content","Total.samples","soil.counts","aquatic.counts","plant.counts","optimum","n16","div","gc_percent","genome_components","chromosomes","total_seq_length","genes_nc","genes_coding","pseudogenes","total_genes"
"3197","Shewanella livingstonensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","150120.0",NA,NA,NA,"Shewanella",NA,NA,1,1,1,1,1,1,8,0.939105305875245,41,1,1,4839879,126,4014,103,4243
"3198","Shewanella loihica","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria",NA,"yes","negative","19.333333333333332","Shewanella","facultative anaerobe","alkaliphile",897,179,1529,1642,289,1,8,7.87833221919501,53.5,1,1,4602594,125,3895,22,4042
"3199","Shewanella marisflavi","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","260364.0","yes","negative","31.166666666666668","Shewanella","anaerobe",NA,820,308,1192,1796,85,1,8,1.52367802355302,49.75,1,1,4332472,125.5,3668.5,35,3829
"3200","Shewanella maritima","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","2520507.0",NA,NA,NA,"Shewanella",NA,NA,588,2314,401,905,288,1,8,8.0320612108874,44.5,1,1,4718011,131,3810,118,4059
"3201","Shewanella oneidensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","211586.0",NA,NA,"29.0","Shewanella",NA,NA,1,1219,516,1861,609,1,9,2.08228995996945,45.5,2,2,5131424,138,4330,134,4602
"3202","Shewanella pealeana","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","398579.0",NA,NA,NA,"Shewanella",NA,NA,1,1,1,1,1,1,11,0.609272194698476,44.5,1,1,5174581,185,4242,36,4463
"3203","Shewanella piezotolerans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","225849.0","yes","negative","15.75","Shewanella","facultative anaerobe",NA,748,2469,973,1187,288,1,8,2.7625629702045,43,1,1,5396476,115,4437,85,4637
"3204","Shewanella polaris","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","2588449.0",NA,NA,NA,"Shewanella",NA,NA,1,1,1,1,1,1,8,3.94198620686335,40.5,1,1,4648537,124,3872,65,4061
"3205","Shewanella psychrophila","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","225848.0","yes","negative","11.25","Shewanella","facultative anaerobe",NA,818,1,1,1,1,1,9,5.23248143764548,44,1,1,6353406,135,5334,113,5582
"3206","Shewanella putrefaciens","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","24.0",NA,NA,"25.0","Shewanella","aerobe",NA,22.2741935483871,45.8064516129032,1,10.5967741935484,1,1,8.55555555555556,4.14244221697046,45.3888888888889,1.55555555555556,1.55555555555556,4717122.11111111,133.333333333333,3987.88888888889,50.8888888888889,4172.11111111111
"3207","Shewanella sedimentimangrovi","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria",NA,NA,NA,NA,"Shewanella",NA,NA,1,1,1,1,1,1,8,0,55,1,1,4242357,129,3634,28,3791
"3208","Shewanella sediminis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","425104.0","yes","negative","12.5","Shewanella","facultative anaerobe",NA,611,1784,371,786,50,1,12,6.21272288424826,46,1,1,5517674,168,4541,32,4741
"3209","Shewanella seohaensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","755175.0",NA,NA,NA,"Shewanella","aerobe",NA,1,1,1,1,1,1,9,20.7186251087335,48,1,1,4751888,140,3559,569,4268
"3210","Shewanella vesiculosa","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","518738.0","yes","negative",NA,"Shewanella","facultative anaerobe","alkaliphile",244,257,1084,1787,984,1,9,12.4378688990641,41.5,1,1,4782877,127,3780,310,4217
"3211","Shewanella violacea","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria",NA,NA,NA,"4.0","Shewanella",NA,NA,693,1798,801,776,1,1,14,5.29917048862121,44.5,1,1,4962103,174,3913,81,4168
"3212","Shewanella woodyi","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria",NA,NA,NA,"25.0","Shewanella",NA,NA,1,3508,75,1765,2,1,10,13.3243414830311,43.5,1,1,5935403,165,4888,47,5100
"3213","Shewanella xiamenensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","332186.0","yes","negative","26.5","Shewanella","facultative anaerobe","alkaliphile",657,2780,783,1074,1,1,9,24.3225764885314,46.3,2.8,2.8,5086130.8,129.8,4311.4,69.4,4510.6
"3214","Shewanella yunxiaonensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria",NA,NA,NA,NA,"Shewanella",NA,NA,1,1,1,1,1,1,7,0,48,1,1,3812587,122,3353,16,3491
"3215","Shigella boydii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","621.0",NA,NA,"30.0","Shigella","aerobe",NA,1,92.8684210526316,15.4736842105263,38.7368421052632,7.47368421052632,1,7,4.64362429607278,50.875,2.75,2.75,4721742.41666667,127.166666666667,3999.91666666667,781.583333333333,4908.66666666667
"3216","Shigella dysenteriae","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","622.0",NA,NA,NA,"Shigella",NA,NA,1,1,1,1,1,1,7,1.89824742008876,50.6428571428571,2.42857142857143,2.42857142857143,4699517.21428571,115,3850.57142857143,960.571428571429,4926.14285714286
"3217","Shigella flexneri","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","42897.0",NA,"negative","33.5","Shigella","aerobe",NA,1,75.2765957446808,12.7021276595745,31.5106382978723,6.23404255319149,1,6.98837209302326,5.08171405721443,50.4941860465116,3.55813953488372,3.55813953488372,4857994.97674419,126.441860465116,4231.1976744186,499.348837209302,4857.02325581395
"3218","Shigella sonnei","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","624.0",NA,NA,"32.333333333333336","Shigella","aerobe",NA,1,130.296296296296,21.3703703703704,54.1111111111111,10.1111111111111,1,7,11.8518980221015,50.7567567567568,3.72972972972973,3.72972972972973,4987055.08108108,129.297297297297,4286.97297297297,636.810810810811,5053.08108108108
"3219","Shimwellia blattae","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","630626.0",NA,NA,"34.666666666666664","Shimwellia",NA,NA,1,1,1,1,1,1,8,7.34339029666074,56.5,1,1,4155243.66666667,128,3703.66666666667,114.333333333333,3946
"3220","Shinella zoogloeoides","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","352475.0",NA,NA,"28.333333333333332","Shinella","aerobe",NA,1,1,1,1,1,1,3,0,63.75,6,6,4994548.5,66,4757,83.5,4906.5
"3221","Siansivirga zeaxanthinifaciens","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Flavobacteriaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria","1454006.0",NA,NA,NA,"Siansivirga",NA,NA,149,471,2,170,2,1,3,19.0954250488444,33.5,1,1,3303986,57,2794,36,2887
"3222","Siccibacter colletis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","1505757.0",NA,NA,NA,"Siccibacter","aerobe",NA,1,1,1,1,1,1,7,3.1417487370903,57,2,2,4108301,112,3777,51,3940
"3223","Sideroxyarcus emersonii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Gallionellaceae","Nitrosomonadales","Betaproteobacteria","Pseudomonadota","Bacteria","2764705.0",NA,NA,NA,"Sideroxyarcus",NA,NA,1115,1,1,1,1,1,2,0,60,1,1,2738141,55,2625,7,2687
"3224","Sideroxydans lithotrophicus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Gallionellaceae","Nitrosomonadales","Betaproteobacteria","Pseudomonadota","Bacteria","580332.0",NA,NA,NA,"Sideroxydans",NA,NA,1,1,1,1,1,1,2,0,57.5,1,1,3003656,55,2947,20,3022
"3225","Silicimonas algicola","R","NR","NR","R","R","R","R","R","R","NR","NR","R","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rhodobacteraceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","1826607.0","no","negative","24.75","Silicimonas","aerobe","alkaliphile",1354,1802,715,947,487,1,1,0,65,1,1,4351658,48,4251,67,4366
"3226","Simiduia agarivorans","R","R","R","R","R","R","R","R","R","NR","R","R","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","R","NR","NR","NR","NR","NR","R","NR","R","R","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Cellvibrionaceae","Cellvibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","1117647.0","yes","negative","30.166666666666668","Simiduia","aerobe","alkaliphile",958,1590,830,547,48,1,3,0.636514168294813,55.5,1,1,4300227,54,3785,48,3887
"3227","Simkania negevensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Simkaniaceae","Chlamydiales","Chlamydiia","Chlamydiota","Bacteria","331113.0",NA,NA,NA,"Simkania",NA,NA,1,2107,741,998,669,1,1,0,41.5,2,2,2628375,41,2325,18,2384
"3228","Simonsiella muelleri","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria","641147.0",NA,NA,"37.0","Simonsiella","microaerophile",NA,437,2628,12,715,237,1,5,0.250201211769094,41.5,1,1,2476128,76,2371.5,69,2516.5
"3229","Simplicispira suum","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Comamonadaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","2109915.0","yes","negative",NA,"Simplicispira","aerobe","alkaliphile",1257,1,1,1,1,34,3,0,63,3,3,4154448,64,3742,98,3904
"3230","Singulisphaera acidiphila","R","R","R","R","R","R","R","R","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Isosphaeraceae","Isosphaerales","Planctomycetia","Planctomycetota","Bacteria","886293.0","no",NA,"28.666666666666668","Singulisphaera","aerobe",NA,1138,690,207,730,126,1,8,2.06377559511286,62,4,4,9755686,99,7158,79,7336
"3231","Sinomicrobium kalidii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Flavobacteriaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria","2900738.0",NA,NA,NA,"Sinomicrobium",NA,NA,1,1,1,1,1,1,3,0,45,1,1,5364211,60,4251,21,4332
"3232","Sinomonas atrocyanea","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Micrococcaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","37927.0",NA,NA,NA,"Sinomonas",NA,NA,1626,1790,510,1213,180,67,4,2.24934057847523,71,2,2,4492204,71,4039,102,4212
