GENUS,PHYLUM,ORDER
Ensifer,Pseudomonadota,Hyphomicrobiales
Sinorhizobium,Pseudomonadota,Hyphomicrobiales
Labrenzia,Pseudomonadota,Hyphomicrobiales
Pannonibacter,Pseudomonadota,Hyphomicrobiales
Roseibium,Pseudomonadota,Hyphomicrobiales
Stappia,Pseudomonadota,Hyphomicrobiales
Ancylobacter,Pseudomonadota,Hyphomicrobiales
Azorhizobium,Pseudomonadota,Hyphomicrobiales
Labrys,Pseudomonadota,Hyphomicrobiales
Pseudolabrys,Pseudomonadota,Hyphomicrobiales
Starkeya,Pseudomonadota,Hyphomicrobiales
Xanthobacter,Pseudomonadota,Hyphomicrobiales
Hirschia,Pseudomonadota,Hyphomonadales
Hyphomonas,Pseudomonadota,Hyphomonadales
Kordiimonas,Pseudomonadota,Kordiimonadales
Magnetococcus,Pseudomonadota,Magnetococcales
Glycocaulis,Pseudomonadota,Maricaulales
Hyphobacterium,Pseudomonadota,Maricaulales
Maricaulis,Pseudomonadota,Maricaulales
Marinicauda,Pseudomonadota,Maricaulales
Parvularcula,Pseudomonadota,Parvularculales
Aliiroseovarius,Pseudomonadota,Rhodobacterales
Cereibacter,Pseudomonadota,Rhodobacterales
Cognatishimia,Pseudomonadota,Rhodobacterales
Falsirhodobacter,Pseudomonadota,Rhodobacterales
Frigidibacter,Pseudomonadota,Rhodobacterales
Fuscovulum,Pseudomonadota,Rhodobacterales
Gemmobacter,Pseudomonadota,Rhodobacterales
Gymnodinialimonas,Pseudomonadota,Rhodobacterales
Haematobacter,Pseudomonadota,Rhodobacterales
Neotabrizicola,Pseudomonadota,Rhodobacterales
Pacificitalea,Pseudomonadota,Rhodobacterales
Paracoccus,Pseudomonadota,Rhodobacterales
Parasedimentitalea,Pseudomonadota,Rhodobacterales
Paroceanicella,Pseudomonadota,Rhodobacterales
Pelagovum,Pseudomonadota,Rhodobacterales
Pikeienuella,Pseudomonadota,Rhodobacterales
Polymorphum,Pseudomonadota,Rhodobacterales
Pontibrevibacter,Pseudomonadota,Rhodobacterales
Pontivivens,Pseudomonadota,Rhodobacterales
Profundibacter,Pseudomonadota,Rhodobacterales
Pseudohalocynthiibacter,Pseudomonadota,Rhodobacterales
Pseudooceanicola,Pseudomonadota,Rhodobacterales
Pseudopuniceibacterium,Pseudomonadota,Rhodobacterales
Pseudorhodobacter,Pseudomonadota,Rhodobacterales
Pukyongiella,Pseudomonadota,Rhodobacterales
Qingshengfaniella,Pseudomonadota,Rhodobacterales
Rhodobaca,Pseudomonadota,Rhodobacterales
Rhodobacter,Pseudomonadota,Rhodobacterales
Rhodophyticola,Pseudomonadota,Rhodobacterales
Rhodovulum,Pseudomonadota,Rhodobacterales
Roseicitreum,Pseudomonadota,Rhodobacterales
Silicimonas,Pseudomonadota,Rhodobacterales
Tabrizicola,Pseudomonadota,Rhodobacterales
Thioclava,Pseudomonadota,Rhodobacterales
Tritonibacter,Pseudomonadota,Rhodobacterales
Yoonia,Pseudomonadota,Rhodobacterales
Antarctobacter,Pseudomonadota,Rhodobacterales
Celeribacter,Pseudomonadota,Rhodobacterales
Dinoroseobacter,Pseudomonadota,Rhodobacterales
Falsihalocynthiibacter,Pseudomonadota,Rhodobacterales
Jannaschia,Pseudomonadota,Rhodobacterales
Ketogulonicigenium,Pseudomonadota,Rhodobacterales
Leisingera,Pseudomonadota,Rhodobacterales
Loktanella,Pseudomonadota,Rhodobacterales
Mameliella,Pseudomonadota,Rhodobacterales
Maribius,Pseudomonadota,Rhodobacterales
Oceanicola,Pseudomonadota,Rhodobacterales
Octadecabacter,Pseudomonadota,Rhodobacterales
Phaeobacter,Pseudomonadota,Rhodobacterales
Ponticoccus,Pseudomonadota,Rhodobacterales
Pseudosulfitobacter,Pseudomonadota,Rhodobacterales
Roseibacterium,Pseudomonadota,Rhodobacterales
Roseivivax,Pseudomonadota,Rhodobacterales
Roseobacter,Pseudomonadota,Rhodobacterales
Roseovarius,Pseudomonadota,Rhodobacterales
Ruegeria,Pseudomonadota,Rhodobacterales
Sagittula,Pseudomonadota,Rhodobacterales
Salipiger,Pseudomonadota,Rhodobacterales
Sulfitobacter,Pseudomonadota,Rhodobacterales
Tateyamaria,Pseudomonadota,Rhodobacterales
Thalassobius,Pseudomonadota,Rhodobacterales
Thalassococcus,Pseudomonadota,Rhodobacterales
Yangia,Pseudomonadota,Rhodobacterales
Acetobacter,Pseudomonadota,Rhodospirillales
Acidibrevibacterium,Pseudomonadota,Rhodospirillales
Acidiphilium,Pseudomonadota,Rhodospirillales
Acidocella,Pseudomonadota,Rhodospirillales
Asaia,Pseudomonadota,Rhodospirillales
Bombella,Pseudomonadota,Rhodospirillales
Commensalibacter,Pseudomonadota,Rhodospirillales
Entomobacter,Pseudomonadota,Rhodospirillales
Formicincola,Pseudomonadota,Rhodospirillales
Gluconacetobacter,Pseudomonadota,Rhodospirillales
Gluconobacter,Pseudomonadota,Rhodospirillales
Granulibacter,Pseudomonadota,Rhodospirillales
Komagataeibacter,Pseudomonadota,Rhodospirillales
Kozakia,Pseudomonadota,Rhodospirillales
Lichenicola,Pseudomonadota,Rhodospirillales
Neoasaia,Pseudomonadota,Rhodospirillales
Neokomagataea,Pseudomonadota,Rhodospirillales
Novacetimonas,Pseudomonadota,Rhodospirillales
Oecophyllibacter,Pseudomonadota,Rhodospirillales
Parasaccharibacter,Pseudomonadota,Rhodospirillales
Rhodovastum,Pseudomonadota,Rhodospirillales
Roseococcus,Pseudomonadota,Rhodospirillales
Roseomonas,Pseudomonadota,Rhodospirillales
Sediminicoccus,Pseudomonadota,Rhodospirillales
Swingsia,Pseudomonadota,Rhodospirillales
Azospirillum,Pseudomonadota,Rhodospirillales
Indioceanicola,Pseudomonadota,Rhodospirillales
Nitrospirillum,Pseudomonadota,Rhodospirillales
Niveispirillum,Pseudomonadota,Rhodospirillales
Skermanella,Pseudomonadota,Rhodospirillales
Elioraea,Pseudomonadota,Rhodospirillales
Aestuariispira,Pseudomonadota,Rhodospirillales
Defluviicoccus,Pseudomonadota,Rhodospirillales
Ferrovibrio,Pseudomonadota,Rhodospirillales
Haematospirillum,Pseudomonadota,Rhodospirillales
Hypericibacter,Pseudomonadota,Rhodospirillales
Magnetospirillum,Pseudomonadota,Rhodospirillales
Pararhodospirillum,Pseudomonadota,Rhodospirillales
Rhodospirillum,Pseudomonadota,Rhodospirillales
Tistrella,Pseudomonadota,Rhodospirillales
Stella,Pseudomonadota,Rhodospirillales
Terasakiella,Pseudomonadota,Rhodospirillales
Nisaea,Pseudomonadota,Rhodospirillales
Magnetospira,Pseudomonadota,Rhodospirillales
Thalassospira,Pseudomonadota,Rhodospirillales
Anaplasma,Pseudomonadota,Rickettsiales
Ehrlichia,Pseudomonadota,Rickettsiales
Neorickettsia,Pseudomonadota,Rickettsiales
Wolbachia,Pseudomonadota,Rickettsiales
Orientia,Pseudomonadota,Rickettsiales
Rickettsia,Pseudomonadota,Rickettsiales
Sneathiella,Pseudomonadota,Sneathiellales
Altererythrobacter,Pseudomonadota,Sphingomonadales
