parent,node,PHYLUM,ORDER,GENUS
Rhodobacterales,Paroceanicella,,,Paroceanicella
Rhodobacterales,Pelagovum,,,Pelagovum
Rhodobacterales,Pikeienuella,,,Pikeienuella
Rhodobacterales,Polymorphum,,,Polymorphum
Rhodobacterales,Pontibrevibacter,,,Pontibrevibacter
Rhodobacterales,Pontivivens,,,Pontivivens
Rhodobacterales,Profundibacter,,,Profundibacter
Rhodobacterales,Pseudohalocynthiibacter,,,Pseudohalocynthiibacter
Rhodobacterales,Pseudooceanicola,,,Pseudooceanicola
Rhodobacterales,Pseudopuniceibacterium,,,Pseudopuniceibacterium
Rhodobacterales,Pseudorhodobacter,,,Pseudorhodobacter
Rhodobacterales,Pukyongiella,,,Pukyongiella
Rhodobacterales,Qingshengfaniella,,,Qingshengfaniella
Rhodobacterales,Rhodobaca,,,Rhodobaca
Rhodobacterales,Rhodobacter,,,Rhodobacter
Rhodobacterales,Rhodophyticola,,,Rhodophyticola
Rhodobacterales,Rhodovulum,,,Rhodovulum
Rhodobacterales,Roseicitreum,,,Roseicitreum
Rhodobacterales,Silicimonas,,,Silicimonas
Rhodobacterales,Tabrizicola,,,Tabrizicola
Rhodobacterales,Thioclava,,,Thioclava
Rhodobacterales,Tritonibacter,,,Tritonibacter
Rhodobacterales,Yoonia,,,Yoonia
Rhodobacterales,Antarctobacter,,,Antarctobacter
Rhodobacterales,Celeribacter,,,Celeribacter
Rhodobacterales,Dinoroseobacter,,,Dinoroseobacter
Rhodobacterales,Falsihalocynthiibacter,,,Falsihalocynthiibacter
Rhodobacterales,Jannaschia,,,Jannaschia
Rhodobacterales,Ketogulonicigenium,,,Ketogulonicigenium
Rhodobacterales,Leisingera,,,Leisingera
Rhodobacterales,Loktanella,,,Loktanella
Rhodobacterales,Mameliella,,,Mameliella
Rhodobacterales,Maribius,,,Maribius
Rhodobacterales,Oceanicola,,,Oceanicola
Rhodobacterales,Octadecabacter,,,Octadecabacter
Rhodobacterales,Phaeobacter,,,Phaeobacter
Rhodobacterales,Ponticoccus,,,Ponticoccus
Rhodobacterales,Pseudosulfitobacter,,,Pseudosulfitobacter
Rhodobacterales,Roseibacterium,,,Roseibacterium
Rhodobacterales,Roseivivax,,,Roseivivax
Rhodobacterales,Roseobacter,,,Roseobacter
Rhodobacterales,Roseovarius,,,Roseovarius
Rhodobacterales,Ruegeria,,,Ruegeria
Rhodobacterales,Sagittula,,,Sagittula
Rhodobacterales,Salipiger,,,Salipiger
Rhodobacterales,Sulfitobacter,,,Sulfitobacter
Rhodobacterales,Tateyamaria,,,Tateyamaria
Rhodobacterales,Thalassobius,,,Thalassobius
Rhodobacterales,Thalassococcus,,,Thalassococcus
Rhodobacterales,Yangia,,,Yangia
Pseudomonadota,Rhodospirillales,,Rhodospirillales,
Rhodospirillales,Acetobacter,,,Acetobacter
Rhodospirillales,Acidibrevibacterium,,,Acidibrevibacterium
Rhodospirillales,Acidiphilium,,,Acidiphilium
Rhodospirillales,Acidocella,,,Acidocella
Rhodospirillales,Asaia,,,Asaia
Rhodospirillales,Bombella,,,Bombella
Rhodospirillales,Commensalibacter,,,Commensalibacter
Rhodospirillales,Entomobacter,,,Entomobacter
Rhodospirillales,Formicincola,,,Formicincola
Rhodospirillales,Gluconacetobacter,,,Gluconacetobacter
Rhodospirillales,Gluconobacter,,,Gluconobacter
Rhodospirillales,Granulibacter,,,Granulibacter
Rhodospirillales,Komagataeibacter,,,Komagataeibacter
Rhodospirillales,Kozakia,,,Kozakia
Rhodospirillales,Lichenicola,,,Lichenicola
Rhodospirillales,Neoasaia,,,Neoasaia
